hashtag,link,tweet
@policia,https://twitter.com/sarrucha/status/1041302742541762560,"@LaFallaras @sextaNoticias @A3Noticias @RTVE_Com @policia @cgtzonasur @guardiacivil @Barbijaputa 
Por favor. Difusión a la dignidad https://t.co/lKHGh13UJj"
@policia,https://twitter.com/Geballari/status/1041302732207009792,@policia @Paulaggodino Cuando este de servicio pobre del que intente escapar corriendo.....😆😆😆
@policia,https://twitter.com/CarlosJ58563305/status/1041302684362571777,"@ana_cre @hermanntertsch @ivanedlm @anadebande @ppdegalicia @GPPopular @jaimedeolano @elenabastidasb @joaquintorrevie @TeresaPalTous @MoroMjesus @mcduenas @PPopular @BarrachinaM @marianorajoy @vox_es @numer344 @vox_bilbao @zoidoJI @dlacalle @mdcospedal @CiudadanosCs @guardiacivil @policia @DefensorPuebloE @jm788700 @europapress @jespanolito @Q_E_D___ @CCivicaCatalana @martinezmaillo @monasterioR @Santi_ABASCAL @jusapol @Ortega_Smith @Alternativa_VOX @Intereconomia @Gato_directo @josele_sj @vox_malaga @JosPastr @MasRazonqUnSant @JupolNacional @pablocasado_ @voxnoticias_es @_23Sergio @ElConductorMad @ELUpedia @LosantosPosts @U2 Pues ya veremos el amaño que hay. O vamos a creer que este va a la sexta por gusto?.Que vaya al Cascabel, al Gato, a las mañanas de Federico, a Levantate y Cardenas."
@policia,https://twitter.com/agustinjlsa/status/1041302535934496769,@michelledevon2 @policia @guardiacivil Sí no las entiende ni el? Hablamos de la UCO?
@policia,https://twitter.com/GatoCurioso77/status/1041302510525448193,"@mnavarro_93 @mquintanaram @policia Contando que lo vas a utilizar para viajar fuera de Europa y que es válido 5/10 años. .. No le veo ningún problema al precio
Si viajas a esos países será por trabajo o vacaciones, así que no te cuesta nada pagar ese precio para todos esos años.
Deja de lloriquear por una chorrada"
@policia,https://twitter.com/DaniSoulBlack/status/1041302410151559168,"@BatshuRoy @albertmones @policia ""La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles"""
@policia,https://twitter.com/raimonlofoll/status/1041302401486139393,"Qué hacen los Mossos? Qué hace la guardia urbana? Aplaudir?
Por eso queremos a nuestra @policia https://t.co/z2uYRAt46P"
@policia,https://twitter.com/rosariocsg/status/1041302325015588865,"@policia La inventiva de las “camella” no tiene límites, sobre todo para camuflar la droga. Ejemplo silla de ruedas"
@policia,https://twitter.com/EmergenciasSev/status/1041301903672528901,"Controles de Policía Local y Policía Nacional en el Operativo Conjunto de #Macarena en la mañana de este domingo. #Seguridad 
Aquí en la zona de Pino Montano #Sevilla
#PolicíaSevilla @policia
@Ayto_Sevilla @SubdeGobSevilla https://t.co/HgTzA2672f"
@policia,https://twitter.com/michelledevon2/status/1041301897259438080,"Marlaska ha renovado recientemente la cúpula de la @policia en Cataluña. Ha colocado a un ""militar"" al frente de la Policía en Cataluña. Curioso, ya que la @policia no es de naturaleza militar como @guardiacivil ¿Y tenía que ser en Cataluña? No entiendo las decisiones de Marlaska https://t.co/M6M7O8CyNo"
@policia,https://twitter.com/pater112/status/1041301604954243072,"Y como siempre @policia y #PoliciaLocalAv cerca de ti

#ÁvilaMagica #ÁvilaMeGusta https://t.co/DqRSVGCNZZ"
@policia,https://twitter.com/pincelandopalab/status/1041301402331607042,"@policia Joder, que miedito tengo. No soy troll. Pero, con vuestros mensajes, me dan unas ganas enormes de trolearos a vosotros."
@policia,https://twitter.com/aridane83/status/1041301240246951937,@carlesenric Y la de plaza Sant Jaume nada ¿no? @policia @guardiacivil @sanchezcastejon @PoderJudicialEs
@policia,https://twitter.com/track_30/status/1041301139826913281,@Sup_Policia @roberluos @policia Y mientras @jusapol captando otro tipo de «¿humanos?». Aquí quién compra a quien? https://t.co/xKOsPZt0T9
@policia,https://twitter.com/bcnferran76/status/1041300973212319746,"@Leonard24198 @LauraFangs @324cat @policia @guardiacivil @jusapol No te equivoques, es por el simple hecho de venir a zurrarnos con vuestras porras cantando ""a por ellos""."
@policia,https://twitter.com/mightymayte/status/1041300783977910272,@Leonard24198 @kikefoz @joncme1 @cubells_jordi @lasvocesdelpue @policia @guardiacivil @interiorgob @jusapol Te parece lógico manifestarse para intentar acabar con una lengua milenaria sólo porque haya zoquetes incapaces d aprenderla?
@policia,https://twitter.com/Cavaro6/status/1041300663924338688,"@borjajimenezd @sanganu2 @policia @jusapol Muchas gracias por su apoyo!!
#EquiparacionYa pero REAL
@jusapol
@JupolNacional
@jucilnacional
#29SBarcelona
#GrupoB_ReclasificacionYa
@interiorgob https://t.co/iUQ5fI1erF"
@policia,https://twitter.com/UGTForestaisGZ/status/1041300632546754562,Hola @policia que hay que hacer cuando es su institución la que miente descaradamente? De momento lo ponemos en conocimiento de la opinión pública... al medio @LaRegion también habrá que pedirle responsabilidades! @incendios085 quien defiende a #Biif #AAMM https://t.co/wwgydWSaDF
@policia,https://twitter.com/9Balas9/status/1041300524128264194,"@Leonard24198 @324cat @policia @guardiacivil @jusapol Como te atreves a llamarnos fascistas? Busca el significado.
2: te repito en mayusc a ver si lo pillas:
AQUI SE ENSEÑA CON EL IDIOMA QUE LES PIDAS. QUIEN QUIERE IMPONER EL CASTELLANO SON PRECISAMENTE ESOS MANIFESTANTES. Asi lo entiendes mejor o te hago una sopa de letras??"
@policia,https://twitter.com/Samurob11/status/1041300475713396736,@policia Una verdad del tamaño de la función de PN!
@policia,https://twitter.com/Daniel_Sanz_C/status/1041300462690033670,"Al lazi de @QuimTorraiPla le gritan 'esto es una dictadura' @sanchezcastejon haga algo que esto acaba en guerra civil.
@policia
@guardiacivil
@EjercitoTierra
@UMCmossos
@csilvacampanon
@HablamosE
Video vía @jmsalvade https://t.co/exI3grIjZY"
@policia,https://twitter.com/n_tentiendo/status/1041300423682994176,"@LauraFangs @Leonard24198 @324cat @policia @guardiacivil @jusapol Mucho les pides! Estos, solo fuerza bruta, lo de la educación, ya si eso lo dejamos para mañana!"
